Frame,Time,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
30,1.218,3.7643E+00,-3.9977E+00,-2.3457E+01,3.5593E+01,-1.0324E+01,3.3033E+01,1.3133E+01,-2.5600E+00,-4.4775E-05,-4.4762E-05,3.7643E+00,3.9977E+00
31,1.260,4.5737E+00,-4.9327E+00,-2.2540E+01,3.6456E+01,-1.0742E+01,3.5868E+01,1.1798E+01,-5.8775E-01,1.2743E-08,1.2736E-08,4.5737E+00,4.9327E+00
32,1.302,5.3067E+00,-5.8076E+00,-2.1645E+01,3.7317E+01,-1.1169E+01,3.8448E+01,1.0476E+01,1.1311E+00,1.3329E-06,1.3318E-06,5.3067E+00,5.8076E+00
33,1.344,5.9535E+00,-6.6033E+00,-2.0754E+01,3.8118E+01,-1.1568E+01,4.0719E+01,9.1857E+00,2.6006E+00,1.6406E-05,1.6386E-05,5.9535E+00,6.6033E+00
34,1.386,6.5054E+00,-7.3006E+00,-1.9846E+01,3.8801E+01,-1.1902E+01,4.2627E+01,7.9435E+00,3.8252E+00,-2.3041E-05,-2.3003E-05,6.5054E+00,7.3006E+00
35,1.428,6.9555E+00,-7.8804E+00,-1.8901E+01,3.9298E+01,-1.2133E+01,4.4108E+01,6.7671E+00,4.8096E+00,3.8382E-06,3.8301E-06,6.9555E+00,7.8804E+00
36,1.470,7.2980E+00,-8.3251E+00,-1.7899E+01,3.9539E+01,-1.2227E+01,4.5095E+01,5.6717E+00,5.5560E+00,-7.0732E-07,-7.0558E-07,7.2980E+00,8.3251E+00
37,1.512,7.5287E+00,-8.6196E+00,-1.6825E+01,3.9450E+01,-1.2157E+01,4.5513E+01,4.6683E+00,6.0628E+00,-1.2382E-07,-1.2348E-07,7.5287E+00,8.6196E+00
38,1.554,7.6448E+00,-8.7521E+00,-1.5666E+01,3.8945E+01,-1.1900E+01,4.5264E+01,3.7661E+00,6.3186E+00,-5.9241E-09,-5.9076E-09,7.6448E+00,8.7521E+00
39,1.596,7.6448E+00,-8.7176E+00,-1.4417E+01,3.7966E+01,-1.1451E+01,4.4285E+01,2.9660E+00,6.3185E+00,-4.3417E-09,-4.3301E-09,7.6448E+00,8.7176E+00
40,1.638,7.5287E+00,-8.5225E+00,-1.3077E+01,3.6560E+01,-1.0812E+01,4.2657E+01,2.2648E+00,6.0970E+00,-9.6851E-08,-9.6615E-08,7.5287E+00,8.5225E+00
41,1.680,7.2980E+00,-8.1788E+00,-1.1651E+01,3.4784E+01,-9.9956E+00,4.0482E+01,1.6552E+00,5.6981E+00,-5.5363E-07,-5.5247E-07,7.2980E+00,8.1788E+00
42,1.722,6.9554E+00,-7.7014E+00,-1.0149E+01,3.2691E+01,-9.0260E+00,3.7849E+01,1.1235E+00,5.1576E+00,3.0042E-06,2.9992E-06,6.9554E+00,7.7014E+00
43,1.764,6.5053E+00,-7.1065E+00,-8.5852E+00,3.0329E+01,-7.9293E+00,3.4836E+01,6.5586E-01,4.5067E+00,-4.3203E-05,-4.3148E-05,6.5053E+00,7.1065E+00
44,1.806,5.9533E+00,-6.4113E+00,-6.9735E+00,2.7740E+01,-6.7372E+00,3.1526E+01,2.3638E-01,3.7864E+00,-1.1978E-04,-1.1967E-04,5.9533E+00,6.4113E+00
45,1.848,5.3066E+00,-5.6328E+00,-5.3293E+00,2.4981E+01,-5.4805E+00,2.8021E+01,-1.5122E-01,3.0405E+00,4.2087E-04,4.2064E-04,5.3066E+00,5.6328E+00
46,1.890,4.5736E+00,-4.7867E+00,-3.6682E+00,2.2112E+01,-4.1881E+00,2.4430E+01,-5.2105E-01,2.3165E+00,1.4573E-02,1.4569E-02,4.5736E+00,4.7867E+00
47,1.932,3.7642E+00,-3.8881E+00,-1.9742E+00,1.9211E+01,-2.9002E+00,2.0898E+01,-9.2462E-01,1.6889E+00,-2.2514E-02,-2.2511E-02,3.7642E+00,3.8881E+00
48,1.974,2.8893E+00,-2.9498E+00,-7.4508E-01,1.5494E+01,-1.3454E+00,1.7068E+01,-6.0102E-01,1.5738E+00,1.3695E-02,1.3694E-02,2.8893E+00,2.9498E+00
49,2.016,1.9620E+00,-1.9838E+00,2.7245E-01,1.1262E+01,4.9392E-01,1.3121E+01,2.2111E-01,1.8582E+00,1.0562E-02,1.0561E-02,1.9620E+00,1.9838E+00
50,2.058,9.8914E-01,-9.9304E-01,2.4640E-01,5.8868E+00,4.4530E-01,6.9959E+00,1.9888E-01,1.1091E+00,1.0803E-03,1.0803E-03,9.8914E-01,9.9304E-01
51,2.100,-1.2392E-04,1.2392E-04,-3.6958E-05,5.4479E-05,-6.6783E-05,1.0925E-04,-2.9825E-05,5.4771E-05,-3.3036E-13,-3.7959E-14,-1.2392E-04,-1.2392E-04
